method,app,run,crawl_dir,exit_status,duration_seconds,states,edges,crawl_paths,average_dom_kb,candidate_elements,candidate_elements_per_state,failed_events,near_duplicates,states_with_dep,dep_state_coverage_pct,unique_dep,unique_dep_per_state,unique_links,unique_resources,unique_js_sources,code_coverage_files,code_coverage_parse_errors,code_covered_lines,code_coverable_lines,code_coverage_pct,total_known_dep,dep_coverage_pct,total_known_links,link_coverage_pct,total_known_js_sources,js_source_coverage_pct,total_known_code_lines,code_coverage_union_pct,delta_duration_seconds_vs_baseline,delta_states_vs_baseline,delta_edges_vs_baseline,delta_crawl_paths_vs_baseline,delta_average_dom_kb_vs_baseline,delta_candidate_elements_vs_baseline,delta_failed_events_vs_baseline,delta_near_duplicates_vs_baseline,delta_states_with_dep_vs_baseline,delta_dep_state_coverage_pct_vs_baseline,delta_unique_dep_vs_baseline,delta_unique_links_vs_baseline,delta_unique_resources_vs_baseline,delta_unique_js_sources_vs_baseline,delta_code_covered_lines_vs_baseline,delta_code_coverable_lines_vs_baseline,delta_code_coverage_pct_vs_baseline,delta_dep_coverage_pct_vs_baseline,delta_link_coverage_pct_vs_baseline,delta_js_source_coverage_pct_vs_baseline,delta_code_coverage_union_pct_vs_baseline
procrawl,owncloud,dep,experiments/dep/results/method-full/procrawl/owncloud/dep/web/crawl0,MAX_TIME,1332,12,10,0,30.472,778,64.833,3,0,11,91.67,34,2.833,25,0,115,0,0,0,0,,60,56.67,139,17.99,139,82.73,0,,132.0,-14.0,-15.0,-1.0,-0.299,-1134.0,-3.0,0.0,-15.0,-8.33,0.0,-12.0,0.0,0.0,0.0,0.0,,0.0,-8.63,0.0,
procrawl,phpbb2,baseline,experiments/dep/results/method-full/procrawl/phpbb2/baseline/web/crawl0,EXHAUSTED,0,1,0,0,7.572,0,0.0,0,0,0,0.0,0,0.0,4,0,0,0,0,0,0,,0,,4,100.0,0,,0,,,,,,,,,,,,,,,,,,,,,,
procrawl,phpbb2,dep,experiments/dep/results/method-full/procrawl/phpbb2/dep/web/crawl0,EXHAUSTED,0,1,0,0,7.572,0,0.0,0,0,0,0.0,0,0.0,4,0,0,0,0,0,0,,0,,4,100.0,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
procrawl,scarf,baseline,experiments/dep/results/method-full/procrawl/scarf/baseline/web/crawl0,EXHAUSTED,0,1,0,0,1.823,0,0.0,0,0,0,0.0,0,0.0,2,0,0,0,0,0,0,,0,,2,100.0,0,,0,,,,,,,,,,,,,,,,,,,,,,
procrawl,scarf,dep,experiments/dep/results/method-full/procrawl/scarf/dep/web/crawl0,EXHAUSTED,0,1,0,0,1.823,0,0.0,0,0,0,0.0,0,0.0,2,0,0,0,0,0,0,,0,,2,100.0,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
procrawl,vanilla,baseline,experiments/dep/results/method-full/procrawl/vanilla/baseline/web/crawl0,EXHAUSTED,0,1,0,0,0.466,0,0.0,0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,,0,,1,100.0,0,,0,,,,,,,,,,,,,,,,,,,,,,
procrawl,vanilla,dep,experiments/dep/results/method-full/procrawl/vanilla/dep/web/crawl0,EXHAUSTED,0,1,0,0,0.466,0,0.0,0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,,0,,1,100.0,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
procrawl,wackopicko,baseline,experiments/dep/results/method-full/procrawl/wackopicko/baseline/web/crawl0,MAX_TIME,1207,20,154,107,4.235,185,9.25,0,0,18,90.0,27,1.35,30,0,0,0,0,0,0,,27,100.0,79,37.97,0,,0,,,,,,,,,,,,,,,,,,,,,,
procrawl,wackopicko,dep,experiments/dep/results/method-full/procrawl/wackopicko/dep/web/crawl0,MAX_TIME,293,19,137,91,4.347,175,9.211,0,0,17,89.47,27,1.421,30,0,0,0,0,0,0,,27,100.0,79,37.97,0,,0,,-914.0,-1.0,-17.0,-16.0,0.112,-10.0,0.0,0.0,-1.0,-0.53,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,
rted,addressbook,baseline,experiments/dep/results/method-full/rted/addressbook/baseline/web/crawl0,EXHAUSTED,5,1,0,0,4.486,5,5.0,2,0,1,100.0,5,5.0,6,0,0,0,0,0,0,,137,3.65,81,7.41,1,0.0,0,,,,,,,,,,,,,,,,,,,,,,
rted,addressbook,dep,experiments/dep/results/method-full/rted/addressbook/dep/web/crawl0,MAX_TIME,293,24,51,17,5.874,223,9.292,0,0,23,95.83,112,4.667,51,0,1,0,0,0,0,,137,81.75,81,62.96,1,100.0,0,,288.0,23.0,51.0,17.0,1.388,218.0,-2.0,0.0,22.0,-4.17,107.0,45.0,0.0,1.0,0.0,0.0,,78.1,55.55,100.0,
rted,hotcrp,baseline,experiments/dep/results/method-full/rted/hotcrp/baseline/web/crawl0,EXHAUSTED,14,1,0,0,2.804,6,6.0,2,0,1,100.0,4,4.0,6,0,2,0,0,0,0,,330,1.21,249,2.41,3,66.67,0,,,,,,,,,,,,,,,,,,,,,,
rted,hotcrp,dep,experiments/dep/results/method-full/rted/hotcrp/dep/web/crawl0,MAX_TIME,289,19,43,16,4.839,193,10.158,5,0,18,94.74,65,3.421,58,0,2,0,0,0,0,,330,19.7,249,23.29,3,66.67,0,,275.0,18.0,43.0,16.0,2.035,187.0,3.0,0.0,17.0,-5.26,61.0,52.0,0.0,0.0,0.0,0.0,,18.49,20.88,0.0,
rted,joomla,baseline,experiments/dep/results/method-full/rted/joomla/baseline/web/crawl0,EXHAUSTED,8,1,0,0,12.795,5,5.0,0,0,1,100.0,13,13.0,4,0,10,0,0,0,0,,136,9.56,5,80.0,190,5.26,0,,,,,,,,,,,,,,,,,,,,,,
